Subject,Session,Group,Type,Total
s18,hypno,medium,Go,460
s18,hypno,medium,NoGo,23
s18,hypno,medium,Missed Go,80
s18,hypno,medium,Miss NoGo,7
s18,hypno,medium,Focus,19
s18,hypno,medium,Related thought,5
s18,hypno,medium,Sensory,2
s18,hypno,medium,MW,4
s18,norm,medium,Go,527
s18,norm,medium,NoGo,7
s18,norm,medium,Missed Go,13
s18,norm,medium,Miss NoGo,23
s18,norm,medium,Focus,22
s18,norm,medium,Related thought,1
s18,norm,medium,Sensory,0
s18,norm,medium,MW,7
s19,hypno,medium,Go,537
s19,hypno,medium,NoGo,23
s19,hypno,medium,Missed Go,3
s19,hypno,medium,Miss NoGo,7
s19,hypno,medium,Focus,0
s19,hypno,medium,Related thought,6
s19,hypno,medium,Sensory,0
s19,hypno,medium,MW,24
s19,norm,medium,Go,540
s19,norm,medium,NoGo,25
s19,norm,medium,Missed Go,0
s19,norm,medium,Miss NoGo,5
s19,norm,medium,Focus,4
s19,norm,medium,Related thought,20
s19,norm,medium,Sensory,0
s19,norm,medium,MW,6
s27,hypno,medium,Go,538
s27,hypno,medium,NoGo,20
s27,hypno,medium,Missed Go,2
s27,hypno,medium,Miss NoGo,10
s27,hypno,medium,Focus,6
s27,hypno,medium,Related thought,17
s27,hypno,medium,Sensory,7
s27,hypno,medium,MW,0
s27,norm,medium,Go,537
s27,norm,medium,NoGo,16
s27,norm,medium,Missed Go,3
s27,norm,medium,Miss NoGo,14
s27,norm,medium,Focus,1
s27,norm,medium,Related thought,12
s27,norm,medium,Sensory,17
s27,norm,medium,MW,0
s06,hypno,high,Go,524
s06,hypno,high,NoGo,17
s06,hypno,high,Missed Go,16
s06,hypno,high,Miss NoGo,13
s06,hypno,high,Focus,27
s06,hypno,high,Related thought,1
s06,hypno,high,Sensory,2
s06,hypno,high,MW,0
s06,norm,high,Go,534
s06,norm,high,NoGo,21
s06,norm,high,Missed Go,6
s06,norm,high,Miss NoGo,9
s06,norm,high,Focus,17
s06,norm,high,Related thought,8
s06,norm,high,Sensory,4
s06,norm,high,MW,1
s08,hypno,high,Go,536
s08,hypno,high,NoGo,15
s08,hypno,high,Missed Go,4
s08,hypno,high,Miss NoGo,15
s08,hypno,high,Focus,11
s08,hypno,high,Related thought,9
s08,hypno,high,Sensory,2
s08,hypno,high,MW,8
s08,norm,high,Go,536
s08,norm,high,NoGo,18
s08,norm,high,Missed Go,4
s08,norm,high,Miss NoGo,12
s08,norm,high,Focus,26
s08,norm,high,Related thought,0
s08,norm,high,Sensory,0
s08,norm,high,MW,4
s11,hypno,high,Go,540
s11,hypno,high,NoGo,25
s11,hypno,high,Missed Go,0
s11,hypno,high,Miss NoGo,5
s11,hypno,high,Focus,29
s11,hypno,high,Related thought,0
s11,hypno,high,Sensory,0
s11,hypno,high,MW,1
s11,norm,high,Go,540
s11,norm,high,NoGo,26
s11,norm,high,Missed Go,0
s11,norm,high,Miss NoGo,4
s11,norm,high,Focus,29
s11,norm,high,Related thought,1
s11,norm,high,Sensory,0
s11,norm,high,MW,0
s13,hypno,high,Go,538
s13,hypno,high,NoGo,25
s13,hypno,high,Missed Go,2
s13,hypno,high,Miss NoGo,5
s13,hypno,high,Focus,11
s13,hypno,high,Related thought,17
s13,hypno,high,Sensory,2
s13,hypno,high,MW,0
s13,norm,high,Go,527
s13,norm,high,NoGo,24
s13,norm,high,Missed Go,2
s13,norm,high,Miss NoGo,6
s13,norm,high,Focus,7
s13,norm,high,Related thought,14
s13,norm,high,Sensory,6
s13,norm,high,MW,2
s15,hypno,high,Go,489
s15,hypno,high,NoGo,22
s15,hypno,high,Missed Go,51
